#  Interpolation error = 2.8146680E-08
# Normalising constant = 3.9413096E-01
 #      X             PDF_ex          PDF_ap           err
-2.182258   3.91412747E-02   0.039142   -0.000011   
-2.177419   3.95437592E-02   0.039544   0.000000   
-2.177419   3.95437592E-02   0.039544   0.000000   
-2.172581   3.99494751E-02   0.039949   0.000010   
-2.167742   4.03584371E-02   0.040358   0.000014   
-2.162903   4.07706598E-02   0.040770   0.000012   
-2.158065   4.11861577E-02   0.041186   0.000007   
-2.153226   4.16049451E-02   0.041605   0.000001   
-2.148387   4.20270364E-02   0.042027   -0.000006   
-2.143548   4.24524459E-02   0.042453   -0.000012   
-2.138710   4.28811877E-02   0.042882   -0.000013   
-2.133871   4.33132759E-02   0.043314   -0.000010   
-2.129032   4.37487244E-02   0.043749   -0.000000   
-2.129032   4.37487244E-02   0.043749   0.000000   
-2.124194   4.41875473E-02   0.044187   0.000010   
-2.119355   4.46297584E-02   0.044629   0.000013   
-2.114516   4.50753712E-02   0.045075   0.000012   
-2.109677   4.55243996E-02   0.045524   0.000007   
-2.104839   4.59768569E-02   0.045977   0.000001   
-2.100000   4.64327567E-02   0.046433   -0.000006   
-2.095161   4.68921122E-02   0.046893   -0.000011   
-2.090323   4.73549367E-02   0.047356   -0.000013   
-2.085484   4.78212432E-02   0.047822   -0.000010   
-2.080645   4.82910449E-02   0.048291   0.000000   
-2.080645   4.82910449E-02   0.048291   -0.000000   
-2.075806   4.87643546E-02   0.048764   0.000009   
-2.070968   4.92411850E-02   0.049241   0.000012   
-2.066129   4.97215489E-02   0.049721   0.000011   
-2.061290   5.02054588E-02   0.050205   0.000007   
-2.056452   5.06929271E-02   0.050693   0.000000   
-2.051613   5.11839661E-02   0.051184   -0.000006   
-2.046774   5.16785879E-02   0.051679   -0.000010   
-2.041935   5.21768048E-02   0.052177   -0.000012   
-2.037097   5.26786285E-02   0.052679   -0.000009   
-2.032258   5.31840708E-02   0.053184   -0.000000   
-2.032258   5.31840708E-02   0.053184   0.000000   
-2.027419   5.36931434E-02   0.053693   0.000009   
-2.022581   5.42058579E-02   0.054205   0.000012   
-2.017742   5.47222256E-02   0.054722   0.000011   
-2.012903   5.52422577E-02   0.055242   0.000006   
-2.008065   5.57659653E-02   0.055766   0.000000   
-2.003226   5.62933595E-02   0.056294   -0.000005   
-1.998387   5.68244508E-02   0.056825   -0.000010   
-1.993548   5.73592502E-02   0.057360   -0.000012   
-1.988710   5.78977679E-02   0.057898   -0.000009   
-1.983871   5.84400144E-02   0.058440   0.000000   
-1.983871   5.84400144E-02   0.058440   0.000000   
-1.979032   5.89859998E-02   0.058986   0.000008   
-1.974194   5.95357342E-02   0.059535   0.000011   
-1.969355   6.00892274E-02   0.060089   0.000010   
-1.964516   6.06464891E-02   0.060646   0.000006   
-1.959677   6.12075288E-02   0.061208   0.000000   
-1.954839   6.17723559E-02   0.061773   -0.000005   
-1.950000   6.23409795E-02   0.062342   -0.000009   
-1.945161   6.29134087E-02   0.062914   -0.000011   
